Country,Year,Livability_Score,Lower_Bound,Upper_Bound,Latest_Score
Mexico,2025,0.641382258072926,0.6197153780366488,0.6609712906768399,0.6399936830990921
Mexico,2026,0.6424612482467523,0.6080449487805935,0.6716016555783098,0.6399936830990921
Mexico,2027,0.6435402384205786,0.5948884804378423,0.6847405543698643,0.6399936830990921
Marshall Islands,2023,0.6136710861858227,0.6060366096245393,0.6214991850075844,0.6211278350278387
Marshall Islands,2024,0.6147048565279095,0.5909389589329741,0.6391321501013553,0.6211278350278387
Marshall Islands,2025,0.615741459117509,0.572241975585762,0.6581017162237554,0.6211278350278387
Marshall Islands,2026,0.6167752294595957,0.5518585901878642,0.6800609470962753,0.6211278350278387
Marshall Islands,2027,0.6178089998016827,0.5289234803963859,0.7034558241041667,0.6211278350278387
North Macedonia,2023,0.6458272828937361,0.6408206678136439,0.6519234219745504,0.6176084645246834
North Macedonia,2024,0.6532361565681729,0.6387277910853213,0.6704826495339589,0.6176084645246834
North Macedonia,2025,0.6606653285266494,0.6332662546048555,0.69192208305231,0.6176084645246834
North Macedonia,2026,0.668074202201086,0.6253120606314403,0.7130470111782934,0.6176084645246834
North Macedonia,2027,0.6754830758755228,0.6162671183200922,0.7379830527027308,0.6176084645246834
Mali,2023,0.5231630100148729,0.5153916571257462,0.5297205470089186,0.4833202452459424
Mali,2024,0.5283149563950796,0.5207999531077565,0.5362886634815599,0.4833202452459424
Mali,2025,0.5334810176968762,0.523043203570636,0.5430721225325535,0.4833202452459424
Mali,2026,0.538632964077083,0.5237137830689379,0.551346767328222,0.4833202452459424
Mali,2027,0.54378491045729,0.5267966116345837,0.559438783169466,0.4833202452459424
Malta,2023,0.6384134141753073,0.6359705045664277,0.6410112551869395,0.6304533718986228
Malta,2024,0.642067318881782,0.6350627641663704,0.6485472170755755,0.6304533718986228
Malta,2025,0.6457312342860828,0.6334280482451825,0.6578519024330289,0.6304533718986228
Malta,2026,0.6493851389925575,0.63107954349648,0.668225277328348,0.6304533718986228
Malta,2027,0.6530390436990322,0.6265774170399219,0.6782675032263963,0.6304533718986228
Myanmar,2023,0.6258045642046389,0.6166733876698628,0.6352046954516118,0.6461778223785583
Myanmar,2024,0.6236266332532451,0.6143387285419188,0.6332187717315418,0.6461778223785583
Myanmar,2025,0.6214427353677379,0.6101608453837314,0.6329045165317754,0.6461778223785583
Myanmar,2026,0.6192648044163442,0.6056272606519739,0.6331007557737451,0.6461778223785583
Myanmar,2027,0.6170868734649504,0.6003368606838313,0.6343080025746105,0.6461778223785583
Montenegro,2023,0.6943534151342331,0.6880262911927917,0.7006943299794225,0.6791971870168763
Montenegro,2024,0.6966475651369073,0.6799088967386043,0.714274725104955,0.6791971870168763
Montenegro,2025,0.6989480004820545,0.6692926659888512,0.7294842520445964,0.6791971870168763
Montenegro,2026,0.7012421504847286,0.6577928342763946,0.7474246999821413,0.6791971870168763
Montenegro,2027,0.7035363004874027,0.6402077750419483,0.7667755422283827,0.6791971870168763
Mongolia,2023,0.6023862498359814,0.5957146825804897,0.6086851941524567,0.5795747552625058
Mongolia,2024,0.6075913252289409,0.6002351706301731,0.6144640428908309,0.5795747552625058
Mongolia,2025,0.612810661102429,0.6046179159661191,0.6211042754772202,0.5795747552625058
Mongolia,2026,0.6180157364953884,0.608135757227513,0.6289559272411229,0.5795747552625058
Mongolia,2027,0.6232208118883479,0.6105735013251107,0.6363541873047308,0.5795747552625058
Mozambique,2023,0.5628289685780916,0.5593020869107586,0.5668704691865174,0.55023921779739
Mozambique,2024,0.5662061042753325,0.555966580923816,0.5772675100256244,0.55023921779739
Mozambique,2025,0.5695924923991411,0.551419969229081,0.5902061273307244,0.55023921779739
Mozambique,2026,0.572969628096382,0.545216505437806,0.6030706451987714,0.55023921779739
Mozambique,2027,0.5763467637936229,0.5353619062602337,0.6182721134242991,0.55023921779739
Mauritania,2023,0.5059322927444087,0.49612213662153426,0.5153427428254811,0.43996954936455673
Mauritania,2024,0.5139327797686168,0.5038854568672988,0.5244057034181809,0.43996954936455673
Mauritania,2025,0.5219551859353571,0.5113284523736213,0.53325495380484,0.43996954936455673
Mauritania,2026,0.5299556729595651,0.5173473810864136,0.5425466577485807,0.43996954936455673
Mauritania,2027,0.5379561599837733,0.52284442990485,0.5522361283795187,0.43996954936455673
Mauritius,2023,0.6174282192546878,0.6141197845412452,0.6213316991978394,0.5962525193733333
Mauritius,2024,0.6195271840484481,0.6090159398807274,0.6309931379223968,0.5962525193733333
Mauritius,2025,0.6216318994306845,0.6025563393585683,0.6430090630277171,0.5962525193733333
Mauritius,2026,0.623730864224445,0.5946875456638029,0.6568128289951715,0.5962525193733333
Mauritius,2027,0.6258298290182054,0.585321301867894,0.6717413836614611,0.5962525193733333
Malawi,2023,0.5319258474991501,0.5258681076677607,0.5373752417468515,0.4920555419984839
Malawi,2024,0.5354029773863911,0.5293860122320921,0.5408538942189578,0.4920555419984839
Malawi,2025,0.5388896336568848,0.5322201153768817,0.545835586153923,0.4920555419984839
Malawi,2026,0.5423667635441259,0.5349747468757527,0.5495358868721474,0.4920555419984839
Malawi,2027,0.545843893431367,0.5370016411401297,0.5537462857955054,0.4920555419984839
Malaysia,2023,0.6697070882741414,0.6682314293732027,0.6712645684091405,0.669226821599999
Malaysia,2024,0.6708630431526369,0.6666571917720855,0.675544040209488,0.669226821599999
Malaysia,2025,0.6720221650307995,0.6643892511335583,0.6797246669767385,0.669226821599999
Malaysia,2026,0.6731781199092949,0.661132465806243,0.684666477308997,0.669226821599999
Malaysia,2027,0.6743340747877903,0.6572811956064453,0.690713265179009,0.669226821599999
Namibia,2023,0.5222983051762498,0.5090608246450213,0.5343960395719208,0.46079952042050404
Namibia,2024,0.5298190255493985,0.5171463384481307,0.5425944628139464,0.46079952042050404
Namibia,2025,0.5373603506358984,0.524973980407019,0.5517873743453172,0.46079952042050404
Namibia,2026,0.5448810710090471,0.5300850141592783,0.5586316690666995,0.46079952042050404
Namibia,2027,0.5524017913821959,0.5357686631531804,0.5687958269635975,0.46079952042050404
Niger,2023,0.4737736805609385,0.4673579922552164,0.4802038397560728,0.4645619960004263
